rank,album_id,artist_id
1,1PULmKbHeOqlkIwcDMNwD4,3WrFJ7ztbogyGnTHbHJFl2
2,6GphKx2QAPRoVGWE9D7ou8,3oDbviiivRWhXwIE8hxkVV
3,0PYyrqs9NXtxPhf0CZkq2L,3WrFJ7ztbogyGnTHbHJFl2
4,6YabPKtZAjxwyWbuO9p4ZD,74ASZWbe4lXaubB36ztrGX
5,3OdI6e43crvyAHhaqpxSyz,3WrFJ7ztbogyGnTHbHJFl2
6,4gp6F03qAJCvKYoAGSrHVk,3koiLjNrgRTNbOwViDipeA
7,5dBQ20ppdPxo5bqkoeTKnN,22bE4uQ6baNwSHPVcDxLCe
8,6FCzvataOZh68j8OKzOt9a,3RGLhK1IP9jnYFH4BRFJBS
9,4NP1rhnsPdYpnyJP0p0k0L,74ASZWbe4lXaubB36ztrGX
10,03Qh833fEdVT30Pfs93ea6,3WrFJ7ztbogyGnTHbHJFl2
11,2w9qV3ELWjmpGBDxBPmYif,43ZHCT0cAZBISjO8DG9PnE
12,4sb0eMpDn3upAFfyi4q2rw,0kbYTNQb4Pb1rPbbaF0pT4
13,02O0Ea7JGwlLq8faAiv1MN,1nJvji2KIlWSseXRSlNYsC
14,2Pqkn9Dq2DFtdfkKAeqgMd,3WrFJ7ztbogyGnTHbHJFl2
15,7rSZXXHHvIhF4yUFdaOCy9,776Uo845nYHJpNaStv1Ds4
16,4WD4pslu83FF6oMa1e19mF,74ASZWbe4lXaubB36ztrGX
17,2uEf3r9i2bnxwJQsxQ0xQ7,6olE6TJLqED3rqDCT0FyPh
18,43YIoHKSrEw2GJsWmhZIpu,3eqjTLE0HfPfh78zjh6TqT
19,4pG3bKkbmReDt5QTDn3JDz,44NX2ffIYHr6D4n7RaZF7A
20,1C2h7mLntPSeVYciMRTF4a,3fMbdgg4jU18AjLCKBhRSm
21,1MEavknY0Ptw78jnCMYsa6,293zczrfYafIItmnmM3coR
22,5lQYtmPhbIIsrUtAVnzyeT,0f8MDDzIc6M4uH1xH0o0gy
23,0DFYbYCcHCEJPcN1hODG6K,4x1nvY2FN8jxqAFA0DA02H
24,5w9X19CBZUHOcQZjrUcDZ6,7guDJrEfX3qb6FEbdPA5qi
25,3PLw2q9EG7HAAy8vITJRkE,7GaxyUddsPok8BuhxN6OUW
26,1bt6q2SruMsBtcerNVtpZB,08GQAI4eElDnROBrJRGE0X
27,5OkSkzxPZuziL8waHmU8Zd,51Blml2LZPmy7TTiAg47vQ
28,3ipneUq3vZhmTXOFZMoHkf,67ea9eGLXYMsO2eYQRui3w
29,1J8QW9qsMLx3staWaHpQmU,36QJpDe2go2KgaRleHCDTp
30,1vz94WpXDVYIEGja8cjFNa,5hW4L92KnC6dX9t7tYM4Ve
31,1lPoRKSgZHQAYXxzBsOQ7v,74ASZWbe4lXaubB36ztrGX
32,0c78nsgqX6VfniSNWIxwoD,22bE4uQ6baNwSHPVcDxLCe
33,5uYDAwW0SZgcfOFkxrST64,1co4F2pPNH8JjTutZkmgSm
34,0nuPXgAXAfPmz9AW1PPrlk,4vpDg7Y7fU982Ds30zawDA
35,48D1hRORqJq52qsnUYZX56,0oSGxfWSnnOXhD2fKuz2Gy
36,12n11cgnpjXKLeqrnIERoS,319yZVtYM9MBGqmSQnMyY6
37,2widuo17g5CEC66IbzveRu,0ECwFtbIWEVNwjlrfc6xoL
38,5HM0XnToWhSPYEStptvUYt,4y6J8jwRAwO4dssiSmN91R
39,7gDXyW16byCQOgK965BRzn,3WrFJ7ztbogyGnTHbHJFl2
40,2amHBpP8C0EUy6yBNy6nN6,3Q6OOkfssqoMSTtl11J5Uk
41,6ggO3YVhyonYuFWUPBRyIv,1u7kkVrr14iBvrpYnZILJR
42,1jWmEhn3ggaL6isoyLfwBn,22WZ7M8sxp5THdruNY3gXt
43,2WT1pbYjLJciAR26yMebkH,0k17h0D3J5VfsdmQ1iZtE9
44,7xg7u99lilTCPbaRfnYuy6,0vYkHhJ48Bs3jWcvZXvOrP
45,0nPrnmv6maJLLaPpy1cWGB,4vpDg7Y7fU982Ds30zawDA
