id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
1d4zMkLqBRC12BSWZNfa5G,0.134,0.782,0.67,0.0,2,0.0843,-11.849,1,0.0501,135.075,0.961,4
2bW2ddWrNR7sHh6Vtqq3Fb,0.7070000000000001,0.682,0.534,0.0,5,0.11599999999999999,-11.477,0,0.0476,116.736,0.872,4
1LH5cfUbeIqchZ4XXqygKf,0.659,0.581,0.7440000000000001,0.0,5,0.11,-6.721,1,0.0407,137.187,0.909,4
0aEbLXJflABe8msSmZNVZj,0.7120000000000001,0.7170000000000001,0.48,0.0,7,0.371,-14.2,1,0.037000000000000005,116.595,0.883,4
6OPdWdyWMq7gk5a5byZiSf,0.183,0.6920000000000001,0.7609999999999999,0.0,5,0.11900000000000001,-7.402,1,0.0344,133.196,0.961,4
5onwsM1DmyaCTZoSwU2mHB,0.7390000000000001,0.247,0.449,0.000152,5,0.35700000000000004,-7.749,1,0.03,101.445,0.39,3
3evKKHWfJEODXUcntWlejD,0.527,0.335,0.311,2.88e-06,0,0.0913,-11.467,1,0.0351,140.156,0.61,4
05oMNN5Rbv6rVqyFFG9uTl,0.9470000000000001,0.5820000000000001,0.302,0.0107,9,0.0931,-11.624,1,0.0353,94.288,0.642,4
1ySkB2a4SFjhWwIpkdJBzw,0.759,0.664,0.449,0.00277,5,0.24100000000000002,-10.184,1,0.0283,119.93,0.828,4
2X23093vTzc9U5dr721Pqm,0.594,0.7340000000000001,0.586,0.00044400000000000006,0,0.0852,-8.613,1,0.0566,138.735,0.961,4
2s51nJWcqOhrbXXa4eJqx1,0.779,0.337,0.48,1.39e-05,3,0.162,-21.901999999999997,1,0.106,206.764,0.929,4
4f8hBeMXMvssn6HtFAtblo,0.835,0.654,0.452,2.8899999999999998e-05,2,0.16,-9.709,1,0.03,106.662,0.691,3
1ZX3zJ342LVBcy9enMdUYa,0.14400000000000002,0.5,0.67,3.05e-05,8,0.139,-12.39,0,0.0354,150.252,0.8170000000000001,4
0OWUoGoT5TRDrF9PQuhgXZ,0.7959999999999999,0.45,0.324,0.0,8,0.24600000000000002,-14.081,0,0.0317,141.553,0.589,4
