,Carrier Name,2-Char IATA,3-Char ICAO
0,"40-Mile Air, Ltd.",Q5,MLA
1,ABC Aerolineas S.A. de C.V.,4O,AIJ
2,ABSA  -  Aerolinhas Brasileiras S.A.,M3,TUS
3,"ABX Air, Inc.",GB,
4,ACT Havayollari A.S.,9T,
5,AEROFLOT-NORD,5N,AUL
6,AHK Air Hong Kong Limited,LD,AHK
7,ANA & JP Express Co. ltd,9N,AJV
8,"AVIACSA-Consorcio Aviaxsa, S.A. de C.V.",6A,CHP
9,"AVIATECA, S.A.",GU,
10,Adria Airways - The Airline of Slovenia,JP,ADR
11,Aegean Airlines S.A.,A3,AEE
12,"Aeko Kula, Inc. DBA Aloha Air Cargo",KH,
13,Aer Arann Express,RE,REA
14,Aer Lingus Limited,EI,EIN
15,Aero 2000 S.A.,4M,
16,Aero Airlines A.S.,EE,
17,Aero Contractors Nigeria Limited,AJ,NIG
18,Aero Express del Ecuador  - Trans AM,7T,
19,Aero Micronesia Inc.,,MGE
20,Aero Mongolia,M0,MNG
21,Aero Regional Paraguaya S.A.,P7,
22,Aero Republica S.A.,P5,RPB
23,Aero V.I.P. Ltda,,QCL
24,Aerocaribbean S.A.,7L,CRN
25,Aerocomercial Oriente Norte Ltda,A4,
26,Aeroflot - Cargo,SU,RCF
27,Aeroflot Russian Airlines,SU,AFL
28,Aeroflot-Don,D9,DNV
29,Aerogaviota  S.A.,KG,
30,Aerolinea Principal Chile S.A.,5P,PCP
31,Aerolineas Argentinas,AR,ARG
32,Aerolineas Austral Chile S.A.,3I,
33,Aerolineas Galapagos S.A. Aerogal,2K,GLG
34,"Aerolineas Regionales, S.A. de C.V",F2,RCQ
35,Aerolineas de Baleares AeBal,DF,ABH
36,Aerolitoral S.A. de C.V.,5D,SLI
37,Aeromexico,AM,AMX
38,Aeroperlas,WL,
39,Aeropostal Alas de Venezuela C.A.,VH,
40,Aerosur Paraguay S.A.,PQ,
41,Aerosvit Airlines,VV,AEW
42,Aerosyncro Aviation AB,6I,IBZ
43,"Aerotransporte de Carga Union, S.A. de C",6R,TNO
44,Aerotransportes Mas de Carga,M7,MAA
45,Aerovias Caribe S.A. de C.V.,QA,CBE
46,Aerovias del Continente Americano S.A,AV,AVA
47,Africa West,FK,
48,African International Airways,,AIN
49,Afriqiyah Airways,8U,AAW
50,Aigle Azur,ZI,AAF
51,Air Algerie,AH,DAH
52,Air Almaty JSC,K7,LMY
53,Air Arabia,G9,
54,Air Armenia,QN,
55,Air Astana,KC,KZR
56,Air Atlanta Icelandic,CC,ABD
57,Air Austral,UU,REU
58,Air Bagan Ltd.,W9,
59,Air Baltic Corporation SIA,BT,
60,Air Bashkortostan Ltd.,ZU,BBT
61,Air Bee S.p.A,BM,OBE
62,Air Bissau International Lda,YL,BSA
63,Air Botswana Corporation,BP,BOT
64,Air Busan,BX,
65,Air Caledonie,TY,TPC
66,Air Caledonie International,SB,ACI
67,Air Canada,AC,ACA
68,Air Canada Jazz,QK,JZA
69,Air Caraibes,TX,FWI
70,"Air Cargo Carriers, Inc.",2Q,SNC
71,Air Charter Express Limited,,ACE
72,Air China Cargo,CA,
73,Air Comet S.A.,A7,MPD
74,Air Company ITEK-AIR Ltd.,GI,IKA
75,Air Company Somon Air,4J,
76,Air Continental Africa,TI,
77,Air Contractors (UK) Limited,AG,ABR
78,Air Creebec (1994) Inc.,YN,CRQ
79,Air Dolomiti S.p.A.,EN,DLA
80,Air Dominicana S.A.,6D,
81,Air Eagle (Pvt) Ltd.,,SEE
82,Air Ecuador Airecu S.A.,N5,
83,"Air Europa Lineas Aereas, S.A.",UX,AEA
84,Air Fiji Ltd.,PC,FAJ
85,Air Finland Ltd.,OF,
86,Air France,AF,AFR
87,Air Go Airlines S.A.,4A,
88,Air Greenland A/S,GL,GRL
89,Air Iceland (Flugfelag Islands),NY,FXI
90,Air India Charters Limited,IX,
91,Air Inuit Ltd/Ltee,3H,AIE
92,Air Italy S.p.A.,I9,
93,Air Jamaica,JM,AJM
94,Air Koryo,JS,KOR
95,Air Kurfa,7F,KAV
96,Air Lines of Kuban,GW,KIL
97,Air Logistics L.L.C. d/b/a,L9,ALG
98,Air Macau Company Limited,NX,AMU
99,Air Madagascar,MD,MDG
100,Air Malawi Limited,QM,AML
101,Air Malta p.l.c.,KM,AMC
102,"Air Marshall Islands, Inc.",CW,MRS
103,Air Mascareignes Ltd.,MV,
104,Air Mauritius,MK,MAU
105,Air Midwest,ZV,AMW
106,Air Mobility Command,MC,
107,Air Moldova,9U,MLD
108,Air Namibia,SW,NMB
109,Air Nepal International Pvt. Ltd.,XN,NPL
110,Air New Zealand Limited,NZ,ANZ
111,"Air Next Co., Ltd.",7A,NXA
112,Air Nippon Co. Ltd.,EL,ANK
113,Air Niugini Pty Limited,PX,ANG
114,Air North Charter and Trainung Ltd.,4N,
115,Air Nostrum L.A.M.S.A.,YW,ANE
116,Air One,AP,ADH
117,Air Pacific Ltd.,FJ,FJI
118,Air Philippines Corporation,2P,GAP
119,Air Saint  Pierre,PJ,
120,Air Senegal International,V7,SNG
121,Air Seychelles Limited,HM,SEY
122,Air Sinai,4D,ASD
123,Air Speed Up,VP,
124,Air Sylhet AG,SL,SHR
125,Air Tahiti,VT,VTA
126,Air Tahiti Nui,TN,THT
127,Air Tanzania Company Ltd.,TC,ATC
128,Air Tindi Ltd.,8T,
129,Air Transat,TS,TSC
130,Air Transport International Ltd,8C,
131,Air Urga,3N,URG
132,Air Vanuatu (Operations) Limited,NF,AVN
133,Air Via Ltd.,VL,VIM
134,Air Wisconsin Airlines Corporation,ZW,AWI
135,Air Zimbabwe (Pvt) Ltd.,UM,AZW
136,AirBridgeCargo Airlines Limited,RU,
137,AirKenya Express Limited,P2,XAK
138,"AirTran Airways, Inc.",FL,
139,AirX Limited dba Blue Islands,SI,BCI
140,Airasia Sdn Bhd.,AK,AXM
141,Airasia X Sdn. Bhd.,D7,
142,Airbus Transport International,4Y,
143,"Aircompany ""Esen Air""",K9,ESD
144,"Aircompany ""Kyrgyzstan""",QH,LYN
145,Aircompany Asia Wings JSC,Y5,AWA
146,Aircompany Polet,YQ,
